team id,team name,campaign name,partner name,placement name,device type,blocking status,total impressions,passed impressions,failed impressions,failed by content impressions,failed by geo impressions,failed by keyword impressions,failed by blacklist impressions,failed by language impressions,see through impressions,fradulent impressions,in-view impressions,out of view impressions,total net unblocked impressions,groupm disp impressions,groupm disp total unblocked impressions,total in view disp impressions,total out of view disp impressions,total in view vid impressions,total out of view vid impressions,groupm vid impressions,groupm vid total unblocked impressions,publicis disp impressions,publicis disp unblocked impressions,publicis vid impressions,publicis vid unblocked impressions
3634,Allstate,ACQ_MobileApp_National_2017,ROCKETFUEL,Rocketfuel_Mob_DIS_Contextual_320x50_IA_GasFinderNonCustomeriOS_DCM,Mobile,Blocking,83366005,83330242,35763,161,635,5,0,0,31398893,34929,23373383,23338139,83330242,0.0,83331269,23373383,23338139,NULL,NULL,0.0,0,0.0,83331269,0.0,0
3634,Allstate,ACQ_AutoHomeDRM_National_2017,DBM,DBM_Mob_Dis_Behavioral_320X50_B_HomeAutoAInMarketDRM_DCM,Mobile,Blocking,80000676,78333542,1667134,1402972,9815,143609,1258,0,79470687,114824,40193185,32602579,78333542,0.0,78333542,40193185,32602579,NULL,NULL,0.0,0,0.0,78333542,0.0,0
8962,PublicisOne - Citi,CIT2_BCDA_3Q2017_US_NAT_AGN_Acquisition_6TB,Dianomi,6TB_PRO_CTA_XXX_DSK_NAT_PRQ_DIMI_Financial Native Targeting BL_1x1_x_#Dynamic CPC#,Desktop,Monitoring,67281163,59325378,7955785,4619656,262088,1137601,304,0,66362614,2047313,0,0,65233820,0.0,66676576,0,0,NULL,NULL,0.0,0,NULL,66676576,0.0,0
3634,Allstate,CON_AutoHome_National_2017,AOL,AOL_Cross_DIS_Contextual_300x250_B_SessionDepth_DCM,Desktop,Blocking,66792752,64594802,2197950,1396981,12043,118810,410,0,66281785,687063,46419568,13021258,64594802,0.0,64594824,46419568,13021258,NULL,NULL,0.0,0,0.0,64594824,0.0,0
3634,Allstate,CON_AutoHome_National_2017,DBM,DBM_Mob_Dis_PMPPandora_300X250_IA_HomeAutoCPMPPandoraHispanic6_DCM,Mobile,Blocking,50332510,50332510,0,0,0,0,0,0,50262776,0,3529448,35604419,50332510,0.0,50332510,3529448,35604419,NULL,NULL,0.0,0,0.0,50332510,0.0,0
3634,Allstate,CON_AutoHome_National_2017,DBM,DBM_Mob_Dis_PMPPandora_300X250_IA_HomeAutoCPMPPandora6_DCM,Mobile,Blocking,45935535,45935534,1,0,0,1,0,0,45850804,0,3839596,36297920,45935534,0.0,45935534,3839596,36297920,NULL,NULL,0.0,0,0.0,45935534,0.0,0
3634,Allstate,ACQ_MobileApp_National_2017,ROCKETFUEL,Rocketfuel_Mob_DIS_Contextual_320x50_IA_IDCardCustomeriOS_DCM,Mobile,Blocking,44510754,44488055,22699,53,161,0,2,0,14072032,22455,12106333,9837550,44488055,0.0,44489206,12106333,9837550,NULL,NULL,0.0,0,0.0,44489206,0.0,0
11805,Saatchi & Saatchi - Toyota,BY17,Hulu - ROS,CY_Hulu.com_FEP_TCM_VID_COMBO_DAR A18-49 VIDEO :30s_SING_1x1,Desktop,Monitoring,42984941,42573710,411231,6070,221883,12,1,0,26786767,183803,0,0,42801134,0.0,42981797,0,0,NULL,NULL,0.0,0,NULL,42981797,0.0,0
3634,Allstate,CON_AutoHome_National_2017,AOL,AOL_Cross_DIS_Contextual_160x600_B_SessionDepth_DCM,Desktop,Blocking,36862535,36026140,836395,260453,3471,40221,391,0,36719941,535493,25259494,6992898,36026140,0.0,36026260,25259494,6992898,NULL,NULL,0.0,0,0.0,36026260,0.0,0
3634,Allstate,CON_AutoHome_National_2017,TubeMogul,TubeMogul_Desk_DIS_Contextual_728x90_B_SiteList_DCM,Desktop,Blocking,34991151,32960259,2030892,806971,43728,549371,16118,0,34808392,642491,16510749,14928560,32960262,0.0,32960262,16510749,14928560,NULL,NULL,0.0,0,0.0,32960262,0.0,0
3634,Allstate,ACQ_AutoHome_National_2017,TubeMogul,TubeMogul_Desk_DIS_Contextual_728x90_B_SiteList_DCM,Desktop,Mixed,31361789,29642341,1719448,638261,32597,501736,6494,0,30733349,564274,16453978,11202984,29642341,0.0,29642346,16453978,11202984,NULL,NULL,0.0,0,0.0,29642346,0.0,0
11805,Saatchi & Saatchi - Toyota,FY18_Toyota National_Camry Launch,Amazon,CY_IMDB_HP_BN_MOB_IMDb Labor Day Monday Takeover - Mobile Banner - 320x100_SUB_1x1,Mobile,Monitoring,30222411,30081946,140465,600,53409,0,0,0,9005839,87007,11708324,2796449,30135363,0.0,30222407,11708324,2796449,NULL,NULL,0.0,0,6903508.90009,30222407,0.0,0
