team id,team name,campaign name,partner name,placement name,device type,blocking status,measured impressions,total impressions,% measured,% see-through,% passed,% failed,% failed by content,% failed by geo,% failed by keyword,% failed by blacklist,% failed by language,% fraud,total viewable rate (total net metrics),total viewable display rate (total net metrics),total viewable video rate (total net metrics),% display ads in view (groupm),% video ads in view (groupm),% display ads in view (publicis),% video ads in view (publicis)
11810,Chanel - Spain - ES,N/A,Glamour,N/A,N/A,Blocking,10016788,10525185,0.999358489459,0.999772545566,0.952308011688,0.0476919883118,0.0243594768168,0.00044911324599,0.0175484801455,0.0,0.0,0.00545814634137,0.784045045178,0.784045045178,NULL,0.667930931115,NULL,0.0,NULL
7935,Chanel - France - FR,N/A,Figaro,N/A,N/A,Mixed,9711019,9904550,0.997141041736,0.993183032041,0.983271526723,0.0167284732774,0.00353130631881,0.00146740639403,0.00597493071366,0.0,0.0,0.00582681696796,0.55504360562,0.55504360562,NULL,0.364813834615,NULL,0.0,NULL
11810,Chanel - Spain - ES,N/A,Marca,N/A,N/A,Mixed,8895367,8920677,0.999220875767,0.999904155256,0.997412304021,0.00258769597868,0.0,0.00124104930601,0.0,0.0,0.0,0.00136110745855,0.508104162538,0.508104162538,NULL,0.171502641869,NULL,0.0,NULL
11810,Chanel - Spain - ES,N/A,YoDona,N/A,N/A,Blocking,8453716,8503715,0.999555422918,0.999837835581,0.994562494157,0.00543750584303,4.93901782927e-06,0.00155190995935,7.05573975609e-07,0.0,0.0,0.0039333397227,0.565193578776,0.565193578776,NULL,0.31042917535,NULL,0.0,NULL
11810,Chanel - Spain - ES,N/A,El Paris,N/A,N/A,Mixed,8343842,10120958,0.833499606867,0.990907876507,0.987720727623,0.0122792723772,0.00477237431476,0.000488194892223,0.0046529192197,0.0,0.0,0.00249630519166,0.569185274601,0.569185274601,NULL,0.219851487008,NULL,0.0,NULL
7935,Chanel - France - FR,N/A,Teads,N/A,N/A,Monitoring,8067461,8077513,0.999769001744,0.862217491943,0.955941017984,0.0440589820159,0.0295888103182,3.59021396809e-05,0.0134737016208,0.0,0.0,0.000998079483128,0.537875795123,NULL,0.537875795123,NULL,0.176740823119,NULL,0.0
11810,Chanel - Spain - ES,N/A,LaVanguardia,N/A,N/A,Mixed,6653692,7541831,0.92441520807,0.999011645846,0.934681644285,0.0653183557149,1.19334416271e-06,0.000706061962937,0.06240527002,0.0,0.0,0.00241347227218,0.267641483856,0.267641483856,NULL,0.14981804394,NULL,0.0,NULL
11810,Chanel - Spain - ES,N/A,MarieClaire,N/A,N/A,Mixed,6418640,7087441,0.933278546127,0.997186149416,0.967006427285,0.0329935727155,0.000180036772087,0.000534748719601,0.0213946049075,0.0,0.0,0.0113571315796,0.648662956639,0.648662956639,NULL,0.440224726266,NULL,0.0,NULL
3863,Chanel - US,N/A,Refinery29 Inc,N/A,N/A,Blocking,6198143,6414623,0.996730868934,0.999178439637,0.969417844198,0.0305821558025,0.0188098349661,0.0,0.000999591090544,0.000193620108306,0.0,0.0101758123587,0.695090932881,0.695090932881,NULL,0.546726902634,NULL,0.0,NULL
11810,Chanel - Spain - ES,N/A,Elle,N/A,N/A,Blocking,6065680,6204238,0.999727227852,0.9997604863,0.977933954178,0.0220660458222,0.00718702280602,0.000233388854522,0.0126850388396,0.0,0.0,0.00201845899529,0.38536915894,0.38536915894,NULL,0.161594889614,NULL,0.0,NULL
11810,Chanel - Spain - ES,N/A,Telva,N/A,N/A,Mixed,5926775,6035212,0.999354197422,0.999759411931,0.971225534414,0.0287744655863,0.00170615381862,0.0238409189271,1.85577573746e-05,0.0,0.0,0.00363881169377,0.365209578565,0.365209578565,NULL,0.183089407456,NULL,0.0,NULL
11810,Chanel - Spain - ES,N/A,El Mundo,N/A,N/A,Mixed,5104605,5119166,0.999515965786,0.999812664797,0.997387855756,0.00261214424381,5.66498527299e-06,0.000570210069375,0.0,0.0,0.0,0.00203978538692,0.555272151322,0.555272151322,NULL,0.227117051362,NULL,0.0,NULL
3863,Chanel - US,N/A,Hearst Digital,N/A,N/A,Mixed,5084543,5308969,0.991018634579,0.972490515578,0.93918819266,0.0608118073396,0.011649531199,0.0,0.00116821175637,0.0,0.0,0.0335313692734,0.55259400894,0.55259400894,NULL,0.321836996273,NULL,0.0,NULL
11810,Chanel - Spain - ES,N/A,ABC,N/A,N/A,Mixed,4935147,8842383,0.605012072298,0.994909064672,0.891022815908,0.108977184092,0.000440492116209,0.000376821497101,0.105143941401,0.0,0.0,0.0032432433655,0.452968675502,0.452968675502,NULL,0.15804376538,NULL,0.0,NULL
7935,Chanel - France - FR,N/A,Elle,N/A,N/A,Blocking,4902746,5021680,0.997465415474,0.993630617642,0.978796737347,0.0212032626531,0.000375969794969,0.00121911392203,0.00755563875038,0.0,0.0,0.0121090949642,0.783196192501,0.783197989516,NULL,0.629714217906,0.0,0.0,0.0
11810,Chanel - Spain - ES,N/A,Hola Fashion,N/A,N/A,Blocking,4896317,4980581,0.99738732402,0.999888567217,0.985656693466,0.0143433065339,0.00328877293633,4.53762322107e-05,0.0102415762338,0.0,0.0,0.000776817001872,0.460829435676,0.460829435676,NULL,0.15754512911,NULL,0.0,NULL
11810,Chanel - Spain - ES,N/A,Vogue,N/A,N/A,Blocking,4636934,4706525,0.998298326013,0.999205995931,0.986893302383,0.0131066976166,0.0015735601107,0.000714964862611,0.00389714279644,0.0,0.0,0.00737571775354,0.666334694434,0.666334694434,NULL,0.55050636233,NULL,0.0,NULL
12896,Chanel - Italy - IT,N/A,Hearst Digital,N/A,N/A,Mixed,4345187,4520008,0.989286792485,0.999217258023,0.9677622252,0.0322377748004,1.1061927324e-06,0.00831702067784,0.000551105219283,0.0,0.0,0.0248800444601,0.358951870196,0.352732996191,0.524149961939,0.225987683607,0.0,0.0,0.0
12896,Chanel - Italy - IT,N/A,RCS,N/A,N/A,Monitoring,4216022,4344785,0.998563270117,0.89687936227,0.960177085863,0.0398229141373,0.000113239205162,0.0113566033762,0.000201621023825,0.0,0.0,0.0282391418678,0.683442591144,0.68388180585,0.682320595704,0.348562872499,0.389186625383,0.0,0.0
7935,Chanel - France - FR,N/A,Webedia,N/A,N/A,Mixed,4148377,4180971,0.999685518071,0.999596266035,0.990063552223,0.00993644777732,0.0011093116886,0.000235352027077,0.00622845745641,0.0,0.0,0.00237480719192,0.40047710225,0.40047710225,NULL,0.0765612877581,NULL,0.0,NULL
12896,Chanel - Italy - IT,N/A,Manzoni,N/A,N/A,Monitoring,4142167,4286065,0.9996756374,0.959873916984,0.884449955845,0.115550044155,0.000152820827496,0.0826742011612,4.66628480903e-07,0.0,0.0,0.0332561452055,0.47094745335,0.380938287652,0.829647575343,0.257013611688,0.462741995011,0.0,0.0
12896,Chanel - Italy - IT,N/A,Conde Nast,N/A,N/A,Monitoring,4135430,4237559,0.998840402866,0.97541579952,0.973947737365,0.0260522626352,0.0,0.00247147001375,0.000641878968529,0.0,0.0,0.0229672318427,0.646463850192,0.661748763313,0.531024641443,0.430561950025,0.274529223191,0.0,0.0
3863,Chanel - US,N/A,NYTimes,N/A,N/A,Mixed,3870443,4019959,0.970452720793,0.993083760307,0.974109686193,0.0258903138067,0.00947173839335,7.46276267992e-07,0.00726052181129,0.0,0.0,0.00736997566393,0.48902231605,0.48902231605,NULL,0.360585146072,NULL,0.0,NULL
11810,Chanel - Spain - ES,N/A,AS,N/A,N/A,Mixed,3658096,3665080,0.999421072259,0.99976344309,0.998672607419,0.00132739258079,0.0,0.000269025505582,0.0,0.0,0.0,0.00109028998003,0.356232039837,0.356232039837,NULL,0.131152463965,NULL,0.0,NULL
3863,Chanel - US,N/A,Style Coalition LLC,N/A,N/A,Blocking,3419934,4151811,0.85716756295,0.997030693353,0.960980160224,0.0390198397759,0.0111214118369,0.0,5.29889245922e-06,0.00445395997072,0.0,0.0236434172943,0.39004729331,0.39004729331,NULL,0.19242130395,NULL,0.0,NULL
7935,Chanel - France - FR,N/A,Figaro Medias,N/A,N/A,Monitoring,3280842,3288080,0.999427913438,0.523208072796,0.989622819396,0.0103771806039,0.00119978832632,0.00130532103842,0.006261404832,0.0,0.0,0.00162830588064,0.58000293827,0.52814043201,0.627138475216,0.500046182752,0.0899574479855,0.0,0.0
12896,Chanel - Italy - IT,N/A,Mediamond,N/A,N/A,Monitoring,3274447,3345719,0.997938565975,0.957838957785,0.979580173948,0.0204198260523,0.00099799176201,0.000107301300558,5.70878785696e-05,0.0,0.0,0.0192807584857,0.521208619349,0.393748405239,0.812172919215,0.275253795199,0.497894463423,0.0,0.0
7935,Chanel - France - FR,N/A,Marie Claire,N/A,N/A,Mixed,3241602,3394328,0.998335390099,0.975956949358,0.953845356135,0.0461546438647,0.00166483616197,0.000103702411788,0.00587391672225,0.0,0.0,0.038536641126,0.370853053521,0.370853053521,NULL,0.205608431634,NULL,0.0,NULL
3863,Chanel - US,N/A,New York Magazine,N/A,N/A,Monitoring,3190276,3921301,0.826706262212,0.824304739677,0.640840119134,0.359159880866,0.160322046178,0.0,0.0147137391391,0.000110167518382,0.0,0.0158286752279,0.66472869432,0.66472869432,NULL,0.341612314802,NULL,0.0,NULL
11810,Chanel - Spain - ES,N/A,Hola - Moda y Belleza,N/A,N/A,Blocking,3146651,4051155,0.917768237089,0.992151620957,0.846324073011,0.153675926989,1.72790228959e-06,5.89955210304e-05,0.150264801026,0.0,0.0,0.00348591944766,0.506630700386,0.506630700386,NULL,0.238093329005,NULL,0.0,NULL
12561,Chanel - Mexico - MX,N/A,Teads,N/A,N/A,Monitoring,2793804,2832299,0.9991827871,0.999990467108,0.94673761492,0.0532623850801,0.0406245950728,0.000162412231195,0.000264096410725,0.0,0.0,0.0127761934739,0.619623638595,NULL,0.619623638595,NULL,0.00171422849976,NULL,0.0
11461,Chanel - UK,N/A,Teads INC,N/A,N/A,Monitoring,2728515,3263715,0.837712224636,0.89918298626,0.912862489525,0.087137510475,0.0175229761177,7.04718396061e-05,0.0676980067193,0.0,0.0,0.0019768883006,0.582578802022,NULL,0.582578802022,0.0,0.0935670634912,0.0,0.0
11810,Chanel - Spain - ES,N/A,Expansion,N/A,N/A,Blocking,2724230,2744661,0.998625722559,0.998537159963,0.993919831994,0.00608016800618,2.91474976327e-06,0.00350462224661,3.86204343633e-05,0.0,0.0,0.00255404948006,0.468577543012,0.468577543012,NULL,0.27688313703,NULL,0.0,NULL
11810,Chanel - Spain - ES,N/A,Vanity Fair,N/A,N/A,Blocking,2607832,2746943,0.997962998751,0.999278106608,0.951295676685,0.048704323315,0.00221300551195,0.00154935868709,0.0251628810645,0.0,0.0,0.0218238966007,0.629626064869,0.629626064869,NULL,0.416343089676,NULL,0.0,NULL
11810,Chanel - Spain - ES,N/A,Smoda,N/A,N/A,Mixed,2582681,3896801,0.720281309752,0.945470913193,0.89704452447,0.10295547553,0.0032021137338,0.0016105518347,0.0869531187248,0.0,0.0,0.0123709165544,0.571323752333,0.571323752333,NULL,0.253669186401,NULL,0.0,NULL
11810,Chanel - Spain - ES,N/A,Teads INC,N/A,N/A,Monitoring,2527492,2530700,0.999622693148,0.88247836567,0.977529142135,0.0224708578654,0.00301655668392,0.00019954953175,0.0184664322124,0.0,0.0,0.000812818587743,0.628268259603,NULL,0.628268259603,NULL,0.105052416029,NULL,0.0
3863,Chanel - US,N/A,The Hollywood Reporter,N/A,N/A,Blocking,2469755,3070196,0.986451127681,0.989497087482,0.815477904342,0.184522095658,0.118457583815,0.0,0.0470816846872,1.95427262624e-06,0.0,0.0189567701867,0.502662409834,0.502662409834,NULL,0.309817039784,NULL,0.0,NULL
7935,Chanel - France - FR,N/A,MPublicite,N/A,N/A,Mixed,2450861,2911656,0.920847693824,0.999093299483,0.909775742739,0.0902242572612,0.00339600557209,0.000187522152342,0.0750129823029,0.0,0.0,0.0121769192515,0.351504226474,0.351504226474,NULL,0.218457806139,NULL,0.0,NULL
11810,Chanel - Spain - ES,N/A,cosmo,N/A,N/A,Blocking,2410810,3422846,0.999297410783,0.999905634083,0.704824289495,0.295175710505,0.288162540763,0.000589275707993,0.00534818101662,0.0,0.0,0.00129658185031,0.351961373978,0.351961373978,NULL,0.111536217717,NULL,0.0,NULL
11810,Chanel - Spain - ES,N/A,MUJERHOY,N/A,N/A,Blocking,2402477,2834488,0.883170740135,0.998647374764,0.959709831193,0.0402901688065,0.00332758508768,0.00101323413611,0.0227737778392,0.0,0.0,0.0136666657259,0.453397056455,0.453397056455,NULL,0.153101523558,NULL,0.0,NULL
7935,Chanel - France - FR,N/A,Adotmob,N/A,N/A,Monitoring,2353578,2486531,0.947100162734,0.553065696748,0.994011737638,0.0059882623623,0.00310714002761,0.000132715015417,0.00216767858515,0.0,0.0,0.000601239236511,0.649491540115,0.649491540115,NULL,0.120671217547,NULL,0.0,NULL
11256,Chanel - Central - FR,N/A,NYT Global Editions,N/A,N/A,Monitoring,2264547,2949046,0.781196141878,0.93925696649,0.965504437706,0.0344955622937,0.000693444591912,0.0,0.016925473526,0.0,0.0,0.016982780194,0.687747262477,0.687747262477,NULL,0.385380486021,NULL,0.0,NULL
7935,Chanel - France - FR,N/A,TF1,N/A,N/A,Monitoring,2194848,6119802,0.359691918515,0.429792499823,0.99651132504,0.0034886749604,1.6340397941e-07,0.000277459957038,0.00030719948129,0.0,0.0,0.00290532275391,0.920940766741,NULL,0.920940766741,0.0,0.806701978162,0.0,0.0
7935,Chanel - France - FR,N/A,CondeNast,N/A,N/A,Mixed,2023583,2122946,0.998116308458,0.991716699341,0.950771239589,0.0492287604112,0.000390966138564,0.00293413021339,0.0116578565823,0.0,0.0,0.0346556153571,0.412310737934,0.374918072453,0.610744906641,0.243738081143,0.00075584790753,0.0,0.0
11810,Chanel - Spain - ES,N/A,MUNDO DEPORTIVO,N/A,N/A,Mixed,1965753,2161519,0.910733645042,0.99752627666,0.998481160702,0.00151883929773,0.0,0.000334486997338,3.83989222394e-05,0.0,0.0,0.00117186108473,0.187389259993,0.187389259993,NULL,0.0945002263009,NULL,0.0,NULL
7935,Chanel - France - FR,N/A,Prisma Media,N/A,N/A,Mixed,1962258,2190885,0.90716091344,0.937799565016,0.985038922627,0.0149610773728,0.000466934594924,0.000126432925507,0.00650787238947,0.0,0.0,0.0079319544385,0.651860764487,0.651860764487,NULL,0.345716490844,NULL,0.0,NULL
3863,Chanel - US,N/A,WhoWhatWear com,N/A,N/A,Mixed,1951422,2116390,0.980125977465,0.978755333374,0.939575881572,0.0604241184281,0.0118035900756,0.0,4.2525243457e-06,0.00969150298385,0.0,0.0199788318788,0.551550100388,0.551550100388,NULL,0.354380564208,NULL,0.0,NULL
11810,Chanel - Spain - ES,N/A,El Periodico,N/A,N/A,Mixed,1888649,2746213,0.789753872144,0.996889898926,0.847690255636,0.152309744364,0.000969334862227,0.00242807094716,0.144231711087,0.0,0.0,0.00550175823944,0.443209934721,0.443209934721,NULL,0.164968578171,NULL,0.0,NULL
7935,Chanel - France - FR,N/A,Grazia,N/A,N/A,Mixed,1673808,1844149,0.948090347401,0.944481167194,0.919422996732,0.0805770032682,0.0474446479108,0.000114958173119,0.0247122114319,0.0,0.0,0.00902258982327,0.097353459895,0.097353459895,NULL,0.0358582746796,NULL,0.0,NULL
