team id,team name,campaign name,partner name,placement name,device type,blocking status,measured impressions,total impressions,% measured,% see-through,% passed,% failed,% failed by content,% failed by geo,% failed by keyword,% failed by blacklist,% failed by language,% fraud,total viewable rate (total net metrics),total viewable display rate (total net metrics),total viewable video rate (total net metrics),% display ads in view (groupm),% video ads in view (groupm),% display ads in view (publicis),% video ads in view (publicis)
2610,Universal McCann - Sony Pictures,Jumanji,N/A,N/A,N/A,Mixed,152521178,243335365,0.644400475629,0.740063040159,0.958495083524,0.0415049164761,0.0224131169754,0.00770694387148,0.0,0.0,0.0,0.0117810619102,0.52881308719,0.525237708141,0.767463408806,0.0,0.0,0.0,0.0
9836,MediaCom_Playstation,FY17_US_PS_HDW_NA_FISCAL-YEAR-17-BRAND_PS4,N/A,N/A,N/A,Mixed,104435098,140849329,0.755196333073,0.843435072381,0.968248645331,0.0317513546692,0.011897678263,0.00334734998986,2.67661907001e-06,0.00229040494755,0.0,0.0147156966577,0.532485553851,0.525999502518,0.747606112465,0.255322318034,0.348641554627,0.0,0.0
9836,MediaCom_Playstation,FY17_US_PS_HDW_NA_Fiscal-Year-17-PSVR_PSV,N/A,N/A,N/A,Mixed,104208823,141415046,0.758011563877,0.845655489869,0.949830020209,0.0501699797913,0.0283533196319,0.00461723853627,3.29526463542e-06,0.00218187532888,0.0,0.0155001187073,0.481095377116,0.456262627069,0.670776242876,0.250760894901,0.358955009596,0.0,0.0
2610,Universal McCann - Sony Pictures,All the Money in the World,N/A,N/A,N/A,Mixed,53302552,81580241,0.664152651505,0.710015382279,0.944518918496,0.0554810815035,0.00672410369565,0.0368190993699,0.0,0.0,0.0,0.0123369701739,0.66709385697,0.671636543211,0.609239808277,0.0,0.0,0.0,0.0
9836,MediaCom_Playstation,FY17_US_PS_SVC-Store-Gaming_Q3_Holiday Sale_PSS,N/A,N/A,N/A,Monitoring,48562651,49661630,0.991236526803,0.987556912651,0.964933913768,0.035066086232,0.0213337943197,0.000326348531049,0.0,0.000253636459375,0.0,0.0134221329425,0.424496945194,0.424496945194,NULL,0.322999155241,NULL,0.0,NULL
9836,MediaCom_Playstation,FY17_US_PS_SVC-Vue-Brand_NA_August-December-Brand_Vue,N/A,N/A,N/A,Mixed,45275136,56822104,0.82563897563,0.86380087228,0.963252117521,0.036747882479,0.0114647109864,0.00564512711462,0.000224877276632,0.00345518708705,0.0,0.0162508765955,0.634879418142,0.652718193349,0.372882835812,0.406719400971,0.126726890136,0.0,0.0
6841,UM LA - Sony Electronics,SNA TV FY17,N/A,N/A,N/A,Mixed,31703106,34369968,0.95070552982,0.867719516061,0.931341513033,0.0686584869675,0.0437298923293,0.00517856170247,0.0,0.0,0.0,0.0221404337647,0.514809211438,0.514809211438,NULL,0.0,NULL,0.0,NULL
10123,Mediacom UK - Sony Playstation,INT_Sony UK_SIEE_Q3 Always On_Remarketing 2017_UK,N/A,N/A,N/A,Blocking,30338973,34947335,0.950576376149,0.966560969527,0.913271355312,0.0867286446878,0.0642965765487,0.0,0.0,0.0159178661263,0.0,0.00724925090855,0.478764887658,0.478764887658,NULL,0.274690322526,NULL,0.0,NULL
9836,MediaCom_Playstation,FY17_US_PS_SVC-Store-Gaming_NA_FY17 Sept-Mar Evergreen_PSS,N/A,N/A,N/A,Monitoring,30119694,30980850,0.988211066836,0.994437757518,0.968837523825,0.0311624761748,0.0142405711916,0.000509605127038,4.84170059892e-06,0.000633455828358,0.0,0.0161796722814,0.410062731713,0.412494102203,0.373013776469,0.318817744307,0.0542123456351,0.0,0.0
9836,MediaCom_Playstation,FY17_US_PS_HDW_NA_Fiscal-Year-17-Pro_NEO,N/A,N/A,N/A,Mixed,27849396,49340411,0.581679809086,0.678302213575,0.949878731249,0.0501212687507,0.0205283454165,0.0053711956311,2.81716339979e-06,0.0032776378778,0.0,0.021860215149,0.590104395801,0.542467968317,0.775599177163,0.256095407533,0.499900547218,0.0,0.0
